epoch,ori,trans32,trans64,transadd
0,86.72754669,94.515274,94.515274,84.2005539
1,58.99954224,96.4564667,96.4564667,97.7371902
2,90.57546234,98.9260254,98.9260254,98.4148865
3,94.17068481,97.662529,97.662529,99.368248
4,65.14472961,99.396965,98.5240097,99.5118332
5,99.27061462,99.7128448,97.7314529,99.1787262
6,99.56352234,99.7760162,99.2419052,99.735817
7,96.27268219,99.7185822,99.8679047,99.8391876
8,96.21525574,99.9023666,99.7989883,99.3912277
9,99.37399292,99.8621674,98.1507034,99.701355
10,99.72432709,99.7587891,99.69561,99.8851395
11,97.51320648,99.8391876,99.7587891,99.8621674
12,99.61521149,99.6726379,99.8851395,99.7989883
13,98.78244781,99.5807495,99.8506775,99.8564224
14,99.72432709,99.8506775,99.8908768,99.7530441
15,95.81323242,99.9023666,99.7932434,99.8736496
16,99.85067749,99.8793945,99.7989883,99.8966217
17,99.83345032,97.9382019,98.3287354,99.8449326
18,99.83918762,99.8334503,99.8219604,98.6790695
19,99.81047821,99.8047333,99.764534,99.8908768
20,99.32804871,99.7875061,97.4328079,97.0595016
21,99.84493256,99.8966217,99.8391876,99.8908768
22,93.52170563,99.8908768,99.7875061,99.4486542
23,98.79393768,93.6595459,99.8391876,99.8679047
24,99.8736496,99.7760162,99.8908768,99.8449326
25,99.83345032,99.8564224,99.8564224,99.5233154
26,99.6439209,99.9195938,99.9253387,99.8851395
27,98.5240097,99.8908768,99.8449326,99.7415543
28,99.73007202,99.69561,99.9081116,99.7875061
29,99.83345032,99.9023666,99.9081116,99.9023666
30,99.82196045,99.7472992,99.9138489,99.8334503
31,99.79898834,99.7530441,99.8966217,99.6094666
32,99.82770538,99.7530441,99.9023666,99.8908768
33,99.86216736,99.8736496,98.9547424,99.7530441
34,99.86790466,97.3581467,99.7989883,99.3337936
35,99.87939453,99.8966217,99.9023666,99.8219604
36,99.88513947,99.8851395,99.8793945,99.9195938
37,99.84493256,99.8908768,99.9081116,99.3280487
38,99.62094879,99.9310837,99.9368286,99.8851395
39,99.82770538,99.8679047,99.9368286,99.8277054
40,99.85642242,99.9425659,99.5348053,99.8966217
41,99.71284485,99.9023666,99.8793945,99.8966217
42,99.90811157,99.9138489,99.9081116,99.8736496
43,99.83918762,89.1281891,99.9195938,99.5060883
44,99.68987274,99.8966217,99.8736496,99.8564224
45,99.89087677,99.8564224,99.8506775,99.8851395
46,99.91384888,99.8047333,99.9310837,99.9081116
47,99.91384888,99.9138489,99.8908768,99.8908768
48,99.90811157,99.9138489,99.9023666,99.9081116
49,99.8736496,99.9138489,99.9195938,97.8520584
50,95.76728821,99.9138489,93.7571793,99.9368286
51,99.62094879,99.9081116,99.6266937,99.9425659
52,99.89087677,99.1212921,99.3510208,99.8334503
53,99.91384888,99.9368286,99.8506775,99.9253387
54,99.81621552,99.9138489,99.9195938,99.8047333
55,99.12703705,99.9368286,99.9195938,96.4736938
56,99.83918762,99.9253387,99.8908768,99.9195938
57,99.89087677,99.7702713,99.9138489,99.9081116
58,99.86790466,99.9310837,99.8966217,99.9195938
59,99.87939453,99.9253387,99.730072,99.9253387
60,99.89087677,99.9081116,99.5348053,99.8564224
61,99.89087677,99.5635223,99.9023666,99.8793945
62,99.89087677,99.8908768,99.8736496,99.9253387
63,99.8966217,99.9195938,99.9023666,99.9253387
64,99.21318817,99.8736496,99.8277054,99.9253387
65,99.8966217,99.8851395,99.8277054,99.7243271
66,99.82770538,99.8736496,99.8564224,99.9310837
67,98.63312531,99.9195938,99.8564224,99.9253387
68,99.82770538,99.9138489,99.764534,99.9310837
69,99.85067749,99.9368286,99.8277054,99.9310837
70,99.87939453,99.9310837,99.9310837,99.8334503
71,99.90236664,99.8219604,99.9195938,99.8219604
72,99.80473328,99.9310837,99.8966217,99.9195938
73,99.90811157,99.8793945,99.8449326,99.9310837
74,99.89087677,99.9138489,99.8966217,99.9138489
75,99.80473328,99.8564224,99.9195938,99.9253387
76,99.6439209,99.9138489,99.8506775,99.9023666
77,99.90236664,99.9425659,99.9195938,99.9253387
78,99.86790466,99.9310837,99.9253387,99.9138489
79,99.86790466,99.9195938,99.9023666,99.8966217
80,99.91384888,99.8793945,99.6152115,99.9368286
81,99.88513947,99.8793945,99.8621674,99.8621674
82,99.90236664,99.9253387,99.9195938,99.8679047
83,99.8966217,99.8966217,99.8966217,99.9081116
84,99.8736496,99.9195938,99.9368286,99.9138489
85,99.90811157,99.6611557,99.8506775,99.8908768
86,99.89087677,99.9195938,99.8391876,99.8506775
87,99.69561005,99.9368286,99.9138489,99.9425659
88,99.84493256,99.9310837,99.8162155,99.8793945
89,99.85642242,99.9310837,99.8679047,99.7932434
90,99.90811157,99.9138489,99.9023666,99.8621674
91,99.92533875,99.9195938,99.9310837,99.9195938
92,99.92533875,98.5527191,99.8908768,99.9253387
93,99.91959381,99.8736496,99.8966217,99.9253387
94,99.90236664,99.8793945,99.8851395,99.9425659
95,99.89087677,99.9310837,99.9023666,99.8219604
96,99.89087677,99.8219604,96.8125458,99.7587891
97,99.91959381,99.9368286,99.8564224,98.891571
98,99.73007202,99.8736496,99.8736496,99.9195938
99,99.87939453,99.9195938,99.9138489,99.9253387
